INFO 2024-04-10 11:35:20,613 - Epoch 40: loss =  20586.50586
INFO 2024-04-10 11:35:20,977 - Model saved.
INFO 2024-04-10 11:40:26,939 - Epoch 41: loss =  19019.09961
INFO 2024-04-10 11:45:41,321 - Epoch 42: loss =  16659.97461
INFO 2024-04-10 11:50:52,528 - Epoch 43: loss =  16893.67773
INFO 2024-04-10 11:55:59,866 - Epoch 44: loss =  17194.11914
INFO 2024-04-10 12:01:08,235 - Epoch 45: loss =  16480.04492
INFO 2024-04-10 12:06:13,143 - Epoch 46: loss =  18574.25000
INFO 2024-04-10 12:11:19,498 - Epoch 47: loss =  17448.52930
INFO 2024-04-10 12:16:25,080 - Epoch 48: loss =  16535.54883
INFO 2024-04-10 12:21:30,001 - Epoch 49: loss =  15688.40039
INFO 2024-04-10 12:26:36,162 - Epoch 50: loss =  20092.49805
INFO 2024-04-10 12:26:36,586 - Model saved.
INFO 2024-04-10 12:31:44,130 - Epoch 51: loss =  17384.82422
INFO 2024-04-10 12:36:54,093 - Epoch 52: loss =  17101.44336
INFO 2024-04-10 12:41:59,062 - Epoch 53: loss =  17855.14062
INFO 2024-04-10 12:47:03,662 - Epoch 54: loss =  15909.46875
INFO 2024-04-10 12:52:09,619 - Epoch 55: loss =  21279.41602
INFO 2024-04-10 12:57:17,748 - Epoch 56: loss =  16344.33594
INFO 2024-04-10 13:02:24,878 - Epoch 57: loss =  18981.06641
INFO 2024-04-10 13:07:30,982 - Epoch 58: loss =  15912.33301
INFO 2024-04-10 13:12:40,820 - Epoch 59: loss =  15901.29492
INFO 2024-04-10 13:17:49,799 - Epoch 60: loss =  15730.06836
INFO 2024-04-10 13:17:50,191 - Model saved.
INFO 2024-04-10 21:07:13,728 - device: cuda
INFO 2024-04-10 21:12:21,750 - Epoch 1: loss =  315122.31250
INFO 2024-04-10 21:17:28,586 - Epoch 2: loss =  351296.93750
INFO 2024-04-10 21:22:33,981 - Epoch 3: loss =  310490.53125
INFO 2024-04-10 21:27:39,676 - Epoch 4: loss =  336836.75000
INFO 2024-04-10 21:32:47,476 - Epoch 5: loss =  242376.34375
INFO 2024-04-10 21:37:52,826 - Epoch 6: loss =  255389.00000
INFO 2024-04-10 21:42:58,186 - Epoch 7: loss =  235635.82812
INFO 2024-04-10 21:48:04,761 - Epoch 8: loss =  214342.15625
INFO 2024-04-10 21:53:10,232 - Epoch 9: loss =  163678.42188
INFO 2024-04-10 21:58:15,723 - Epoch 10: loss =  117269.07031
INFO 2024-04-10 21:58:16,113 - Model saved.
INFO 2024-04-10 22:03:23,075 - Epoch 11: loss =  109384.49219
INFO 2024-04-10 22:08:29,769 - Epoch 12: loss =  75079.73438
INFO 2024-04-10 22:13:34,596 - Epoch 13: loss =  54911.11719
INFO 2024-04-10 22:18:39,956 - Epoch 14: loss =  40835.98438
INFO 2024-04-10 22:23:43,560 - Epoch 15: loss =  41318.26562
INFO 2024-04-10 22:28:48,006 - Epoch 16: loss =  44543.59375
INFO 2024-04-10 22:33:52,112 - Epoch 17: loss =  38618.53516
INFO 2024-04-10 22:38:56,260 - Epoch 18: loss =  30371.41406
INFO 2024-04-10 22:44:00,914 - Epoch 19: loss =  25421.33789
INFO 2024-04-10 22:49:05,487 - Epoch 20: loss =  25161.11133
INFO 2024-04-10 22:49:05,877 - Model saved.
INFO 2024-04-10 22:54:10,062 - Epoch 21: loss =  26714.09961
INFO 2024-04-10 22:59:14,813 - Epoch 22: loss =  26287.64062
INFO 2024-04-10 23:04:21,593 - Epoch 23: loss =  23386.63867
INFO 2024-04-10 23:09:26,962 - Epoch 24: loss =  18996.13867
INFO 2024-04-10 23:14:31,746 - Epoch 25: loss =  28698.52148
INFO 2024-04-10 23:19:37,634 - Epoch 26: loss =  19880.53906
INFO 2024-04-10 23:24:43,367 - Epoch 27: loss =  16906.87109
INFO 2024-04-10 23:29:49,856 - Epoch 28: loss =  22750.30273
INFO 2024-04-10 23:34:54,737 - Epoch 29: loss =  20696.01758
INFO 2024-04-10 23:40:01,732 - Epoch 30: loss =  17368.77344
INFO 2024-04-10 23:40:02,154 - Model saved.
INFO 2024-04-10 23:45:06,350 - Epoch 31: loss =  21712.16406
INFO 2024-04-10 23:50:12,483 - Epoch 32: loss =  16779.81250
INFO 2024-04-10 23:55:10,218 - Epoch 33: loss =  24989.58203
INFO 2024-04-11 00:00:08,629 - Epoch 34: loss =  18235.84180
INFO 2024-04-11 00:05:06,766 - Epoch 35: loss =  25358.29102
INFO 2024-04-11 00:10:04,955 - Epoch 36: loss =  18854.72852
INFO 2024-04-11 00:15:06,539 - Epoch 37: loss =  16307.23438
INFO 2024-04-11 00:20:08,476 - Epoch 38: loss =  19406.53320
INFO 2024-04-11 00:25:08,469 - Epoch 39: loss =  16211.35840
INFO 2024-04-11 00:30:06,538 - Epoch 40: loss =  23260.67383
INFO 2024-04-11 00:30:06,878 - Model saved.
INFO 2024-04-11 00:35:06,532 - Epoch 41: loss =  19782.97852
INFO 2024-04-11 00:40:05,316 - Epoch 42: loss =  13631.10938
INFO 2024-04-11 00:45:03,992 - Epoch 43: loss =  14461.15820
INFO 2024-04-11 00:50:03,316 - Epoch 44: loss =  14148.96875
INFO 2024-04-11 00:55:01,592 - Epoch 45: loss =  22697.02148
INFO 2024-04-11 00:59:59,948 - Epoch 46: loss =  15482.28809
INFO 2024-04-11 01:04:58,237 - Epoch 47: loss =  14555.65332
INFO 2024-04-11 01:09:56,939 - Epoch 48: loss =  14380.98828
INFO 2024-04-11 01:14:54,175 - Epoch 49: loss =  12656.66699
INFO 2024-04-11 01:19:51,266 - Epoch 50: loss =  16282.99902
INFO 2024-04-11 01:19:51,635 - Model saved.
INFO 2024-04-11 01:24:52,520 - Epoch 51: loss =  13925.53711
INFO 2024-04-11 01:29:54,345 - Epoch 52: loss =  15882.69824
INFO 2024-04-11 01:34:56,043 - Epoch 53: loss =  14199.01562
INFO 2024-04-11 01:39:55,168 - Epoch 54: loss =  14333.00879
INFO 2024-04-11 01:44:52,044 - Epoch 55: loss =  17368.73828
INFO 2024-04-11 01:49:51,686 - Epoch 56: loss =  21924.28516
INFO 2024-04-11 01:54:50,181 - Epoch 57: loss =  24204.75391
INFO 2024-04-11 01:59:48,995 - Epoch 58: loss =  13135.56250
INFO 2024-04-11 02:04:48,575 - Epoch 59: loss =  15355.51367
INFO 2024-04-11 02:09:46,690 - Epoch 60: loss =  21923.61914
INFO 2024-04-11 02:09:47,053 - Model saved.
