WARNING 2024-04-07 20:57:08,529 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:57:08,533 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:57:08,537 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
INFO 2024-04-07 20:58:39,211 - device: cuda
INFO 2024-04-07 20:58:43,485 - Epoch 1: loss =  0.48427, accuracy =  0.58819
WARNING 2024-04-07 20:59:28,655 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:59:38,804 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:59:38,811 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:59:38,815 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:59:38,819 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:59:38,824 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:59:38,830 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:59:38,834 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:59:38,839 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:59:38,843 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:59:38,847 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
WARNING 2024-04-07 20:59:38,851 - Clipping input data to the valid range for imshow with RGB data ([0..1] for floats or [0..255] for integers).
